"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"21","f385fd2acd9cf2ad3ba899851c886d76696c542e",189919,"Pseudacris","genus",1,"Metazoa","Chordata","Amphibia","Anura","Hylidae","Pseudacris",""
"22","4fb2963da1a00997ceb54befdec04926b667744d",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"23","fd7d89190e5c165cf36284ea0fca46c98216328c",30962,"Oncorhynchus clarkii","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"24","e330f6d1a7768b21c34c1d9d6814f5b48c87b05a",8167,"Perca flavescens","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens"
"25","a56843c86d60d4423f69f4836868d31ea7eadf22",8022,"Oncorhynchus mykiss","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"26","de42666eb0e70e73c99b1061e5e4bfe4477204b5",8022,"Oncorhynchus mykiss","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"27","94b310b913e0d26c0720e1775a3f2a7f2dd6af18",9188,"Turdus migratorius","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius"
"28","31adf9b0bfe620438b8e730fd474cc27e61c3cc4",69293,"Gasterosteus aculeatus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"29","02e4a86c119ca4b65e5b616135fa996aa2eb4372",8019,"Oncorhynchus kisutch","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"30","740c378e277181351b28591e13ea62ddfd7cdb81",8855,"Cairina moschata","species",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","Cairina","Cairina moschata"
"31","bd4b9c9245a692142f393fe905f4f5d7d75bc4e7",8023,"Oncorhynchus nerka","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka"
"32","d665a22273eb050425814dad353904c8b09a1f31",9823,"Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"33","8519a7f742cabfdb887dc2013feba40c4584b8db",9267,"Didelphis virginiana","species",NA,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis virginiana"
